events/add_jobs,act/executor_switches,ops/critical_done_on_time,rollout/ep_len_mean,ops/blocked_commands,ops/brownout_steps,rollout/ep_rew_mean,time/total_timesteps,ops/critical_due,events/close_downlink,ops/critical_on_time_share,ops/jobs_completed,events/outage,ops/work_lost_steps,ops/completed_share,act/idle_share,ops/revenue_usd,act/downlink_slots_used,ops/below_reserve_steps,ops/episodes,time/fps,time/time_elapsed,act/calibrate_share,ops/min_soc_pct,time/iterations,act/conflicts_repaired,act/job_share,events/skipped,ops/jobs_due_missed,train/loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction
0.0,244.5,182.75,288.0,0.0,0.0,2500.520525,1152,334.0,10.25,0.5471556886227544,866.5,12.25,115.0,0.7173013245033112,0.7757703993055556,21645.802499999998,96.75,0.0,4,52,21,0.10087528935185186,46.7450585,1,456.5,0.12335431134259259,32.75,341.5,,,,,,,,,,
0.0,240.5,185.0,288.0,0.0,0.0,2518.683525,2304,334.0,9.75,0.5538922155688623,865.0,17.0,117.5,0.7160596026490067,0.7820276331018519,21440.9025,100.5,0.0,8,16,143,0.09501591435185185,46.306461999999996,2,452.75,0.1229564525462963,37.5,343.0,11300.958984375,4,0.0035735483591755233,-31.394649611579048,3e-05,0.0002777576446533203,0.2,0.046282385,23738.771918402777,0.22916666666666666
0.0,227.75,189.25,288.0,0.0,0.0,2532.9116833333333,3456,334.0,8.75,0.5666167664670658,860.25,16.0,117.5,0.7121274834437086,0.7823169849537037,21310.55,97.0,0.0,12,13,265,0.09535951967592593,46.810877000000005,3,413.75,0.12232349537037036,36.25,347.75,12204.7646484375,8,-0.003850130545389321,-30.336021900177002,3e-05,0.0028223395347595215,0.2,0.01124969,24270.85671657986,0.061197916666666664
0.0,232.0,185.5,288.0,0.0,0.0,2519.0841812500003,4608,334.0,9.0,0.5553892215568863,852.25,13.25,117.25,0.7055049668874172,0.776294849537037,21135.167500000003,94.75,0.0,16,11,384,0.10224971064814814,46.810877,4,391.25,0.12145543981481483,35.5,355.75,12169.2294921875,12,0.01937719781158699,-30.849174711439346,3e-05,0.004388272762298584,0.2,0.032782264,24526.098036024305,0.2682291666666667
0.0,230.0,189.0,288.0,0.0,0.0,2520.2561450000003,5760,334.0,10.0,0.5658682634730539,850.75,16.5,125.75,0.7042632450331126,0.7653175636574074,21025.65,98.5,0.0,20,11,507,0.1130642361111111,45.933684,5,399.0,0.12161820023148148,34.25,357.25,10501.7451171875,16,0.0013130731208042966,-32.36522992451986,3e-05,0.006189823150634766,0.2,0.014426536,22793.118489583332,0.1877170138888889
0.0,212.5,187.5,288.0,0.0,0.0,2511.55085,6912,334.0,8.25,0.561377245508982,842.5,13.75,142.0,0.697433774834437,0.758861400462963,20776.1875,102.25,0.0,24,10,631,0.1203884548611111,44.6178945,6,383.75,0.12075014467592593,34.5,365.5,10938.337890625,20,0.019963247701525688,-32.826783180236816,3e-05,0.00715106725692749,0.2,0.033968702,23173.236653645832,0.2934027777777778
0.0,212.75,173.75,288.0,0.0,0.0,2460.8147571428567,8064,334.0,7.75,0.5202095808383234,817.75,12.75,151.5,0.6769453642384106,0.7529116030092593,19982.32,88.5,0.0,28,10,753,0.12883391203703703,45.495087500000004,7,336.5,0.11825448495370369,38.5,390.25,9395.0185546875,24,0.02136661204147256,-33.9751820034451,3e-05,0.009250998497009277,0.2,0.037619308,21122.52517361111,0.4112413194444444
0.0,205.0,173.0,288.0,0.0,0.0,2423.343396875,9216,334.0,6.75,0.5179640718562875,820.75,14.75,145.0,0.6794288079470199,0.7422960069444444,20044.3875,83.75,0.0,32,10,872,0.13914207175925924,45.4950875,8,337.5,0.1185619212962963,31.0,387.25,7354.38232421875,28,0.011771593022988074,-35.03014840020074,3e-05,0.010596156120300293,0.2,0.018783368,15636.230794270834,0.3233506944444444
0.0,211.0,173.25,288.0,0.0,0.0,2396.395152777778,10368,334.0,7.5,0.5187125748502994,824.25,15.5,147.5,0.6823261589403973,0.7314453125,20353.42,88.0,0.0,36,10,994,0.14952256944444445,46.372280499999995,9,373.75,0.11903211805555555,29.0,383.75,6447.61767578125,32,0.014627516838825412,-35.35907300313314,3e-05,0.011548280715942383,0.2,0.00934839,15418.056125217014,0.17578125
0.0,218.75,185.75,288.0,0.0,0.0,2398.2793975,11520,334.0,10.75,0.5561377245508982,840.0,15.75,124.5,0.695364238410596,0.7279188368055556,20546.260000000002,92.75,0.0,40,10,1111,0.15237991898148145,45.94096475,10,383.25,0.11970124421296297,38.5,368.0,5945.23974609375,36,0.0056733158028994994,-36.30240334404839,3e-05,0.013908445835113525,0.2,0.016903182,15238.734456380209,0.2788628472222222
