ops/completed_share,events/outage,events/close_downlink,rollout/ep_len_mean,time/fps,time/iterations,ops/critical_done_on_time,ops/work_lost_steps,ops/episodes,act/conflicts_repaired,ops/jobs_due_missed,act/executor_switches,time/time_elapsed,act/job_share,ops/brownout_steps,ops/min_soc_pct,ops/jobs_completed,ops/critical_on_time_share,act/idle_share,time/total_timesteps,act/calibrate_share,ops/blocked_commands,ops/critical_due,ops/revenue_usd,ops/below_reserve_steps,rollout/ep_rew_mean,events/skipped,act/downlink_slots_used,events/add_jobs,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/approx_kl,train/explained_variance
0.7173013245033112,12.25,10.25,288.0,53,1,182.75,115.0,4,456.5,341.5,244.5,21,0.12335431134259259,0.0,46.7450585,866.5,0.5471556886227544,0.7757703993055556,1152,0.10087528935185186,0.0,334.0,21645.802499999998,0.0,2500.520525,32.75,96.75,0.0,,,,,,,,,,
0.7073675496688742,17.0,9.75,288.0,16,2,182.5,116.75,8,425.5,353.5,235.0,140,0.12160011574074073,0.0,46.306461999999996,854.5,0.5464071856287426,0.7934208622685186,2304,0.08497902199074074,0.0,334.0,21148.54,0.0,2474.4529625,37.5,95.75,0.0,23328.685438368055,0.021203733670214813,10881.171875,0.4092881944444444,4,3e-05,-30.464014265272354,0.2,0.13164856,0.0002777576446533203
0.6999172185430464,16.0,8.75,288.0,13,3,185.0,133.25,12,380.5,362.5,217.5,257,0.12073206018518519,0.0,46.671959,845.5,0.5538922155688623,0.7959346064814815,3456,0.08333333333333333,0.0,334.0,20746.185,0.0,2458.7809249999996,36.25,94.75,0.0,22145.631401909723,0.021381711315674085,10874.1181640625,0.2845052083333333,8,3e-05,-29.011236402723526,0.2,0.034549996,0.0036536455154418945
0.6788079470198675,13.25,9.0,288.0,12,4,178.75,140.0,16,346.75,388.0,213.75,377,0.11841724537037038,0.0,46.7450585,820.0,0.5351796407185628,0.795193142361111,4608,0.08638961226851852,0.0,334.0,20403.3975,0.0,2406.1848124999997,35.5,84.75,0.0,20328.057074652777,0.012433402524847124,9452.33984375,0.22569444444444445,12,3e-05,-29.36304654015435,0.2,0.030722793,0.00805574655532837
0.6628725165562914,16.5,10.0,288.0,11,5,174.0,158.5,20,330.0,407.25,189.0,494,0.11608434606481483,0.0,46.3722805,800.75,0.5209580838323353,0.7902199074074074,5760,0.09369574652777778,0.0,334.0,19570.83,0.0,2342.9420099999998,34.25,85.5,0.0,16782.546766493055,0.007905477916614877,6960.48486328125,0.1545138888888889,16,3e-05,-30.41104777654012,0.2,0.019681748,0.012620687484741211
0.6678394039735099,13.75,8.25,288.0,11,6,174.0,165.0,24,318.5,401.25,206.5,609,0.11669921875,0.0,44.9906725,806.75,0.5209580838323353,0.7843605324074074,6912,0.0989402488425926,0.0,334.0,19593.33,0.0,2307.550975,34.5,90.25,0.0,13055.414713541666,0.009210543474182487,5022.55615234375,0.1838107638888889,20,3e-05,-31.104048199123806,0.2,0.014823705,0.017333924770355225
0.6587334437086092,12.75,7.75,288.0,11,7,162.5,169.5,28,316.5,412.25,202.0,729,0.11608434606481481,0.0,45.495087500000004,795.75,0.48652694610778446,0.7839265046296298,8064,0.09998914930555555,0.0,334.0,19269.295000000002,0.0,2251.2301857142857,38.5,85.5,0.0,11619.283284505209,0.0017098701274436382,3925.47509765625,0.10264756944444445,24,3e-05,-31.636663966708714,0.2,0.008569308,0.023966491222381592
0.6694950331125828,14.75,6.75,288.0,10,8,168.25,151.25,32,333.0,399.25,205.0,846,0.11684389467592593,0.0,45.4950875,808.75,0.5037425149700598,0.7740523726851851,9216,0.10910373263888888,0.0,334.0,19763.6525,0.0,2224.910665625,31.0,83.75,0.0,8359.707044813367,0.0035236737199334633,2457.016357421875,0.1032986111111111,28,3e-05,-32.13690874311659,0.2,0.007863051,0.028838038444519043
0.6773592715231788,15.5,7.5,288.0,10,9,176.75,148.5,36,361.25,389.75,207.0,967,0.1180736400462963,0.0,46.372280499999995,818.25,0.5291916167664671,0.7692961516203703,10368,0.11263020833333333,0.0,334.0,20145.59,0.0,2224.247636111111,29.0,88.75,0.0,9557.314792209201,0.0008100078363592426,2160.42919921875,0.1762152777777778,32,3e-05,-32.88634077707926,0.2,0.012795856,0.03410559892654419
0.7024006622516556,15.75,10.75,288.0,10,10,186.5,129.25,40,414.0,359.5,222.75,1088,0.1207863136574074,0.0,45.94096475,848.5,0.5583832335329342,0.7482819733796295,11520,0.13093171296296297,0.0,334.0,20840.73,0.0,2248.9461025,38.5,97.75,0.0,11098.447875976562,0.005991221741876668,4975.908203125,0.2302517361111111,36,3e-05,-32.494059827592636,0.2,0.019249318,0.04322481155395508
